cohort_month,cohort_users,month_number,retained_users,retention_pct
2025-01,129,0,42,32.6
2025-01,129,1,64,49.6
2025-01,129,2,45,34.9
2025-01,129,3,41,31.8
2025-02,203,0,127,62.6
2025-02,203,1,98,48.3
2025-02,203,2,74,36.5
2025-02,203,3,68,33.5
2025-03,268,0,89,33.2
2025-03,268,1,128,47.8
2025-03,268,2,97,36.2
2025-03,268,3,80,29.9
2025-04,358,0,208,58.1
2025-04,358,2,163,45.5
2025-05,426,0,180,42.3
2025-05,426,1,211,49.5
2025-05,426,2,171,40.1
2025-05,426,3,127,29.8
2025-06,473,0,266,56.2
2025-06,473,2,194,41.0
2025-06,473,3,160,33.8
2025-07,522,0,230,44.1
2025-07,522,1,275,52.7
2025-07,522,2,215,41.2
2025-07,522,3,179,34.3
2025-08,624,0,235,37.7
2025-08,624,1,288,46.2
2025-08,624,2,236,37.8
2025-08,624,3,196,31.4
2025-09,667,0,362,54.3
2025-09,667,2,273,40.9
2025-10,719,0,279,38.8
2025-10,719,1,325,45.2
2025-10,719,2,272,37.8
2025-11,785,0,402,51.2
2025-12,826,0,373,45.2
